"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-01",,"6","-7","-2"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-02",,"9","-2","5"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-03",,"12","-17","-15"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-04",,"27","-15","2"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-05",,"31","1","2"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-06",,"2","-19","-19"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-07",,"-11","-22","-16"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-08",,"5","-16","-16"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-09",,"8","-20","-19"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-10",,"27","-19","27"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-11",,"32","25","29"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-12",,"31","23","28"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-13",,"43","28","34"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-14",,"39","20","28"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-15",,"32","10","10"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-16",,"25","8","25"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-17",,"33","8","11"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-18",,"15","6","12"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-19",,"33","11","18"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-20",,"37","-3","26"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-21",,"26","-8","-8"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-22",,"6","-8","3"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-23",,"10","-7","-7"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-24",,"9","-10","9"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-25",,"31","8","10"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-26",,"10","3","4"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-27",,"22","-9","-9"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-28",,"-5","-22","-17"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-29",,"4","-20","-5"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-30",,"28","-5","28"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-01-31",,"30","-4","-2"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-01",,"9","-8","6"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-02",,"25","-8","10"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-03",,"17","-18","-17"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-04",,"23","-17","6"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-05",,"20","2","12"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-06",,"16","-13","-8"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-07",,"8","-12","-11"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-08",,"16","-14","-13"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-09",,"13","-13","-1"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-10",,"16","-17","-16"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-11",,"10","-20","-20"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-12",,"17","-20","10"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-13",,"20","-7","16"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-14",,"29","7","8"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-15",,"22","-10","-10"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-16",,"22","-11","21"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-17",,"26","-11","22"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-18",,"24","7","9"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-19",,"45","8","15"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-20",,"46","8","32"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-21",,"38","17","17"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-22",,"26","14","15"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-23",,"27","5","5"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-24",,"23","5","6"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-25",,"20","5","5"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-26",,"13","-8","-8"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-27",,"15","-8","-6"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-02-28",,"7","-15","-11"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-01",,"19","-11","8"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-02",,"9","-6","1"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-03",,"6","-16","-14"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-04",,"16","-14","11"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-05",,"22","10","14"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-06",,"23","-8","-7"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-07",,"30","-7","28"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-08",,"41","24","24"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-09",,"33","10","17"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-10",,"42","16","30"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-11",,"58","29","36"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-12",,"40","26","26"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-13",,"30","7","9"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-14",,"45","8","43"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-15",,"48","23","36"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-16",,"36","8","13"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-17",,"36","8","17"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-18",,"36","17","24"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-19",,"48","24","32"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-20",,"34","28","28"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-21",,"43","19","19"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-22",,"52","19","29"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-23",,"31","10","11"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-24",,"27","10","10"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-25",,"35","7","17"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-26",,"23","4","5"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-27",,"40","5","37"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-28",,"39","32","32"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-29",,"46","30","41"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-30",,"61","23","39"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-03-31",,"57","35","39"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-01",,"67","27","27"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-02",,"42","19","22"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-03",,"50","22","34"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-04",,"41","32","32"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-05",,"41","20","21"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-06",,"53","21","41"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-07",,"61","33","38"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-08",,"60","33","34"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-09",,"58","23","24"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-10",,"64","24","50"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-11",,"64","29","32"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-12",,"59","29","31"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-13",,"67","29","43"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-14",,"46","31","31"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-15",,"31","14","18"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-16",,"35","18","31"
"USC00479319","WISCONSIN DELLS WWTP, WI US","2014-04-17",,"51","31","43"
